City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
269,Birin,NP,65.28,overcast clouds,26.8865,88.0718,
270,Puri,IN,82.92,overcast clouds,19.8,85.85,
272,Manicore,BR,93.15,clear sky,-5.8092,-61.3003,
274,Libreville,GA,78.82,few clouds,0.3925,9.4537,
277,Rudbar,AF,94.55,clear sky,30.15,62.6,
278,Almeirim,BR,88.77,overcast clouds,-1.5233,-52.5817,
281,Kousseri,CM,80.56,few clouds,12.0769,15.0306,
284,Coari,BR,89.98,overcast clouds,-4.085,-63.1414,
285,Goderich,CA,88.03,overcast clouds,43.7501,-81.7165,
286,Lethem,GY,84.96,overcast clouds,3.3803,-59.7968,
287,Kabo,CF,71.92,light rain,7.6994,18.629,
289,Gourcy,BF,86.32,scattered clouds,13.2167,-2.35,
290,Arona,ES,71.02,broken clouds,28.0996,-16.680999999999997,
291,Seydi,TM,82.11,clear sky,39.4816,62.9137,
292,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,
293,Itaituba,BR,96.96,scattered clouds,-4.2761,-55.9836,
294,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,
296,Harper,LR,76.95,broken clouds,4.375,-7.7169,
297,Amapa,BR,81.45,broken clouds,1.0,-52.0,
298,Nainpur,IN,75.97,overcast clouds,22.4333,80.1167,
300,Kalmunai,LK,78.35,overcast clouds,7.4167,81.8167,
301,Floriano,BR,96.76,clear sky,-6.7669,-43.0225,
302,Viseu,PT,73.85,broken clouds,40.661,-7.9097,
303,San Francisco,US,89.89,few clouds,37.7749,-122.4194,
305,Guarapari,BR,75.09,scattered clouds,-20.6667,-40.4975,
306,Bubaque,GW,79.54,overcast clouds,11.2833,-15.8333,
307,Nioro,GM,83.89,overcast clouds,13.35,-15.75,
308,Dossor,KZ,86.72,clear sky,47.5272,52.9811,
309,Novomoskovsk,RU,70.29,clear sky,54.0105,38.2846,
310,Riyadh,SA,98.74,clear sky,24.6877,46.7219,
311,Chitral,PK,76.87,scattered clouds,35.8462,71.7858,
314,Bogande,BF,82.76,broken clouds,12.9714,-0.1436,
315,Kariba,ZW,67.05,clear sky,-16.5167,28.8,
316,Marquette,US,78.37,overcast clouds,46.5333,-87.6335,
320,Palmares Do Sul,BR,67.5,overcast clouds,-30.2578,-50.5097,
326,Yabrud,SY,69.46,clear sky,33.9674,36.6574,
327,Sayville,US,79.11,overcast clouds,40.7359,-73.0821,
328,Fasa,IR,81.64,few clouds,28.9383,53.6482,
329,Havre-Saint-Pierre,CA,68.36,clear sky,50.2334,-63.5986,
330,Le Port,RE,69.8,few clouds,-20.9373,55.2919,
331,Gat,IL,83.08,clear sky,31.61,34.7642,
332,Faya,SA,79.32,overcast clouds,18.3851,42.4509,
334,Shu,KZ,72.16,clear sky,43.5983,73.7614,
335,Sao Felix Do Xingu,BR,98.51,clear sky,-6.6447,-51.995,
337,Coxim,BR,96.78,overcast clouds,-18.5067,-54.76,
338,Tanout,NE,89.98,overcast clouds,14.9709,8.8879,
339,Mubi,NG,73.99,light rain,10.2676,13.2644,
340,Sika,GM,82.54,overcast clouds,13.3546,-16.345,
341,Derzhavinsk,KZ,69.69,overcast clouds,51.1,66.3167,
343,Velykyy Burluk,UA,70.2,light rain,50.0379,37.3987,
344,Harlingen,US,95.34,few clouds,26.1906,-97.6961,
347,Morros,BR,92.25,clear sky,-9.4467,-46.3003,
348,Florida,US,95.99,scattered clouds,28.7505,-82.5001,
349,Uaua,BR,81.37,overcast clouds,-9.8414,-39.4817,
351,Weston,US,93.0,broken clouds,26.1004,-80.3998,
352,Tambura,SS,69.69,overcast clouds,5.6,27.4667,
353,Sabaudia,IT,81.75,clear sky,41.3003,13.0282,
354,Miragoane,HT,84.52,clear sky,18.4423,-73.0876,
356,Pudozh,RU,67.59,overcast clouds,61.8099,36.5345,
357,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,
358,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,
359,Lagos,NG,79.12,broken clouds,6.5833,3.75,
360,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,
364,Arlit,NE,84.69,overcast clouds,18.7369,7.3853,
365,Mansa,IN,83.68,scattered clouds,29.9833,75.3833,
368,Vytegra,RU,67.28,overcast clouds,61.0064,36.4481,
369,Distraccion,CO,97.99,broken clouds,10.8969,-72.8861,
371,Sabha,LY,93.45,clear sky,27.0377,14.4283,
372,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,
373,Matay,EG,92.59,clear sky,28.419,30.7792,
374,Itarema,BR,83.73,clear sky,-2.9248,-39.9167,
375,Yining,CN,77.7,overcast clouds,29.0361,114.5636,
376,Columbus,US,86.68,heavy intensity rain,39.9612,-82.9988,
378,Borisoglebskiy,RU,69.44,few clouds,57.2586,39.1508,
381,Porto Torres,IT,80.78,clear sky,40.835,8.3972,
382,Peniche,PT,71.29,clear sky,39.3558,-9.3811,
383,Gurupi,BR,92.62,clear sky,-11.7292,-49.0686,
385,Port-Gentil,GA,76.53,scattered clouds,-0.7193,8.7815,
386,San Carlos,VE,82.62,broken clouds,9.6612,-68.5827,
387,Jacmel,HT,85.84,few clouds,18.2342,-72.5347,
388,Santa Maria,BR,72.7,broken clouds,-29.6842,-53.8069,
389,Nizhnedevitsk,RU,77.05,overcast clouds,51.5419,38.3657,
390,Jacareacanga,BR,95.31,clear sky,-6.2222,-57.7528,
391,Bonthe,SL,77.77,overcast clouds,7.5264,-12.505,
393,Energetik,RU,72.03,overcast clouds,51.7445,58.7934,
394,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,
395,Lodwar,KE,85.17,broken clouds,3.1191,35.5973,
398,Zambezi,ZM,65.34,clear sky,-13.5432,23.1047,
401,Nadapuram,IN,76.08,broken clouds,11.7,75.6667,
402,Haysyn,UA,70.92,few clouds,48.8114,29.3898,
403,Anzio,IT,82.33,clear sky,41.4853,12.6179,
404,San Cristobal,VE,80.62,scattered clouds,7.7669,-72.225,
406,Umm Lajj,SA,93.0,clear sky,25.0213,37.2685,
407,Chaman,PK,81.46,clear sky,30.9236,66.4512,
408,Raga,SS,71.35,light rain,8.4596,25.678,
409,Mikhaylovka,RU,84.4,light rain,50.06,43.2379,
410,Saint-Francois,FR,65.64,clear sky,46.4154,3.9054,
411,Changji,CN,83.19,clear sky,44.0167,87.3167,
414,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,
415,Abhar,IR,78.71,overcast clouds,36.1468,49.218,
417,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,
418,Urumqi,CN,79.75,clear sky,43.801,87.6005,
422,Lohardaga,IN,76.41,overcast clouds,23.4333,84.6833,
423,Salamanca,ES,81.99,clear sky,40.8333,-6.0,
424,Bougouni,ML,77.7,light rain,11.417,-7.479,
425,Maiduguri,NG,77.29,overcast clouds,11.8464,13.1603,
427,Guacui,BR,67.95,overcast clouds,-20.7756,-41.6794,
429,Shahrud,IR,81.25,clear sky,36.4182,54.9763,
430,Barra Do Garcas,BR,93.78,few clouds,-15.89,-52.2567,
436,Inirida,CO,90.57,scattered clouds,3.8653,-67.9239,
438,Abha,SA,79.05,clear sky,18.2164,42.5053,
439,Mashhad,IR,78.94,clear sky,36.297,59.6062,
441,Krumovgrad,BG,78.04,clear sky,41.4667,25.65,
442,Mossendjo,CG,76.24,broken clouds,-2.9506,12.7261,
443,Otradnyy,RU,74.12,overcast clouds,53.376000000000005,51.3452,
444,Cumra,TR,73.54,clear sky,37.5732,32.7745,
447,Novodugino,RU,65.3,clear sky,55.6305,34.2842,
448,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,
449,Coswig,DE,70.99,clear sky,51.1333,13.5833,
450,Nsanje,MW,68.23,clear sky,-16.92,35.262,
452,Manoharpur,IN,81.55,overcast clouds,27.3,75.95,
453,Miandrivazo,MG,70.3,clear sky,-19.5167,45.4667,
454,Las Tunas,CU,91.53,overcast clouds,20.9617,-76.9511,
455,Albacete,ES,81.41,clear sky,38.8333,-2.0,
456,Camopi,GF,85.41,broken clouds,3.1655,-52.3158,
457,Korla,CN,78.66,clear sky,41.7597,86.1469,
459,Bandundu,CD,86.63,scattered clouds,-3.3167,17.3667,
